mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0763066291809082,0.010723465625905858,0.007479667663574219,0.006357727690330215,5,50,"{'max_depth': 5, 'n_estimators': 50}",-0.03969416843146045,-0.02516080344603755,-0.03323217808574741,-0.039770340892332,-0.06309678090061377,-0.04019085435123824,0.012644608377788875,1
0.140606689453125,0.01643924173844349,0.014922857284545898,0.001968720064529596,5,100,"{'max_depth': 5, 'n_estimators': 100}",-0.039865329172052766,-0.020014662726372867,-0.04781703703455675,-0.0398089551974945,-0.0615783199389075,-0.04181686081387688,0.013488464579703447,2
0.2797564506530762,0.044210155750400985,0.030709457397460938,0.0020890919929508396,5,200,"{'max_depth': 5, 'n_estimators': 200}",-0.042638105939275306,-0.018354544723393706,-0.048245795354783905,-0.04071232730379504,-0.06011531960475702,-0.042013218585201,0.013626053909636783,3
0.08802328109741211,0.013025663982918989,0.011812257766723632,0.002441646395547556,8,50,"{'max_depth': 8, 'n_estimators': 50}",-0.1175756186978647,-0.06857387725375719,-0.08858956362493053,-0.09736858097416379,-0.13874150740473,-0.10216982959108925,0.024128777762467003,4
0.15128073692321778,0.005910135182212871,0.01612715721130371,0.001068454324592761,8,100,"{'max_depth': 8, 'n_estimators': 100}",-0.11438105748509275,-0.06666915620789737,-0.09981993831950597,-0.08473883922286252,-0.1470905756798182,-0.10253991338303536,0.027334820031043136,5
0.32324514389038084,0.03409809276588977,0.0343116283416748,0.0013676968817964734,8,200,"{'max_depth': 8, 'n_estimators': 200}",-0.11859222040047701,-0.0704238066923415,-0.09354480462224757,-0.08678068660751381,-0.14926216604246756,-0.10372073687300949,0.027547715886187006,6
0.0849912166595459,0.0015694346686051313,0.00936441421508789,0.0006022696705337375,15,50,"{'max_depth': 15, 'n_estimators': 50}",-0.20422968298089272,-0.10785496421831087,-0.13279660840567575,-0.1372258970606195,-0.21401122386780713,-0.1592236753066612,0.04206721477764484,9
0.16550178527832032,0.003216998408682327,0.01742100715637207,0.000596460923091973,15,100,"{'max_depth': 15, 'n_estimators': 100}",-0.1857757336467587,-0.1179147771704574,-0.13201746124787594,-0.13459208181225923,-0.2097864715916138,-0.15601730509379302,0.03539356627200171,8
0.3505871295928955,0.01901826112769628,0.03547654151916504,0.0023580387331748327,15,200,"{'max_depth': 15, 'n_estimators': 200}",-0.18743014522946266,-0.11434118492949685,-0.13980697475381976,-0.13391461613383782,-0.20302578891766654,-0.15570374199285672,0.033717280817579603,7
