mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.17508726119995116,0.029254441131960397,0.022487115859985352,0.009861474543495773,5,50,"{'max_depth': 5, 'n_estimators': 50}",-0.043908621051119257,-0.027576028242185746,-0.04755385191902728,-0.03403618624653637,-0.06416735675515728,-0.04344840884280519,0.012544828901632528,3
0.27862987518310545,0.02724571341606891,0.03356013298034668,0.002466693610258803,5,100,"{'max_depth': 5, 'n_estimators': 100}",-0.040500831907534396,-0.020305493043551115,-0.04509654328505519,-0.039106033578263366,-0.06272759681318929,-0.04154729972551867,0.013560762080184086,2
0.5243146896362305,0.011581058658501397,0.06281628608703613,0.005071654248011408,5,200,"{'max_depth': 5, 'n_estimators': 200}",-0.03823897415370814,-0.02047168821470402,-0.04482382929182127,-0.040431988812447583,-0.059980016913042,-0.0407892994771446,0.012680679982619947,1
0.1522679328918457,0.0060293150368205825,0.022712326049804686,0.008084667155887862,8,50,"{'max_depth': 8, 'n_estimators': 50}",-0.12555661623084213,-0.06625475873918263,-0.09523435448707196,-0.09757994959432437,-0.15504606687269606,-0.10793434918482343,0.030118930775384446,6
0.3136167526245117,0.010555050753858888,0.03441333770751953,0.006335020450244456,8,100,"{'max_depth': 8, 'n_estimators': 100}",-0.11917277462366016,-0.07304254152292478,-0.09592297656694027,-0.09234338267414155,-0.14557525749719824,-0.105211386576973,0.02494336428360821,5
0.6265563488006591,0.03133692129097322,0.07809610366821289,0.00023321185545250607,8,200,"{'max_depth': 8, 'n_estimators': 200}",-0.1120784017737031,-0.07042442405284133,-0.09481026782307644,-0.09283368631344069,-0.14170372396799547,-0.10237010078621141,0.02370656262746781,4
0.17249708175659179,0.0008880205545405568,0.018799638748168944,0.0062257600971333295,15,50,"{'max_depth': 15, 'n_estimators': 50}",-0.18980642003314485,-0.1182885554637354,-0.151440885771279,-0.15215630024050864,-0.21425342498546152,-0.16518911729882588,0.03338217720203314,9
0.34545412063598635,0.0010985458297369769,0.037050819396972655,0.008045994327676935,15,100,"{'max_depth': 15, 'n_estimators': 100}",-0.19118075257254907,-0.11250154298602366,-0.13147892561102803,-0.14062233437201854,-0.2003611240381593,-0.1552289359159557,0.03444559022674341,8
0.6894284725189209,0.001879199042948581,0.06886224746704102,0.0065060336287158585,15,200,"{'max_depth': 15, 'n_estimators': 200}",-0.18525604754019098,-0.11157509279495992,-0.1419590543652427,-0.13070844053236574,-0.1987583818685621,-0.1536514034202643,0.03306659801981291,7
